City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,pisco,PE,73.4,clear sky,-13.7,-76.22,Hotel San Isidro Oficial
2,bluff,NZ,52.0,scattered clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
3,codrington,AU,50.79,light rain,-38.27,141.97,Codrington Gardens Bed And Breakfast
6,busselton,AU,51.01,clear sky,-33.65,115.33,Observatory Guest House
7,buenos aires,AR,70.0,few clouds,-34.61,-58.38,Gran Hotel Argentino
8,mataura,NZ,52.0,broken clouds,-46.19,168.86,Ellie's Villa
11,hokitika,NZ,53.82,overcast clouds,-42.72,170.97,Beachfront Hotel Hokitika
13,ushuaia,AR,53.6,light rain,-54.8,-68.3,Albatros Hotel
14,lashio,MM,52.72,clear sky,22.93,97.75,Hotel CF Lashio - Burmese Only
23,kahului,US,75.99,few clouds,20.89,-156.47,Maui Seaside Hotel
24,east london,ZA,66.2,light rain,-33.02,27.91,Tu Casa
27,cairns,AU,73.4,scattered clouds,-16.92,145.77,Mantra Trilogy Cairns
28,cidreira,BR,65.39,overcast clouds,-30.18,-50.21,Hotel Castelo
30,ribeira grande,PT,59.0,broken clouds,38.52,-28.7,Quinta da Meia Eira
37,hermanus,ZA,64.99,overcast clouds,-34.42,19.23,Misty Waves Boutique Hotel
39,punta arenas,CL,57.2,broken clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
45,vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
47,new norfolk,AU,54.0,broken clouds,-42.78,147.06,The Shingles Riverside Cottages
49,ancud,CL,68.0,clear sky,-41.87,-73.82,Hotel Arena Gruesa
51,dunedin,NZ,52.0,scattered clouds,-45.87,170.5,Scenic Hotel Southern Cross
52,sur,OM,74.93,clear sky,22.57,59.53,Sur Plaza Hotel
54,sao filipe,CV,75.69,few clouds,14.9,-24.5,Tortuga B&B
55,chuy,UY,61.93,broken clouds,-33.7,-53.46,Nuevo Hotel Plaza
58,castro,BR,65.98,moderate rain,-24.79,-50.01,CHACARA BAILLY
60,dickinson,US,52.0,overcast clouds,29.46,-95.05,Candlewood Suites League City
62,saint george,US,44.6,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
63,fortuna,US,60.01,overcast clouds,40.6,-124.16,Super 8 by Wyndham Fortuna
65,sitka,US,48.2,moderate rain,57.05,-135.33,Westmark Sitka
66,hobart,AU,57.2,light rain,-42.88,147.33,St Ives Hobart Accommodation Tasmania
67,constitucion,CL,65.28,few clouds,-35.33,-72.42,Hotel Boutique Las Azucenas
68,airai,TL,62.24,overcast clouds,-8.93,125.41,Juvinal Martin
69,dingle,PH,75.78,light rain,11.0,122.67,SEGAYA PROPERTY
71,port elizabeth,ZA,66.2,clear sky,-33.92,25.57,39 On Nile Guest House
72,taoudenni,ML,70.77,broken clouds,22.68,-3.98,
73,vryburg,ZA,71.89,clear sky,-26.96,24.73,Times Premier Lodge
75,villeneuve-sur-lot,FR,44.6,overcast clouds,44.5,0.67,Le Domaine De Beunes
76,atar,MR,74.7,overcast clouds,20.52,-13.05,Oumou Elghoura
77,hasaki,JP,43.0,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
79,rio grande,BR,69.8,clear sky,-32.03,-52.1,Hotel Atlântico Rio Grande
81,saumur,FR,43.0,broken clouds,47.33,-0.25,Hôtel la Longue Vue
85,kapaa,US,75.2,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
90,lakes entrance,AU,60.01,broken clouds,-37.88,147.98,The Esplanade Resort & Spa
92,lithakia,GR,60.8,scattered clouds,37.72,20.83,Zante Plaza Hotel & Apartments
94,marystown,CA,47.7,broken clouds,47.17,-55.15,Marystown Hotel & Convention Centre
95,mbanza-ngungu,CD,70.09,overcast clouds,-5.25,14.87,Hotel Full Business
98,mar del plata,AR,60.8,few clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
99,north platte,US,55.4,clear sky,41.12,-100.77,Holiday Inn Express & Suites North Platte
103,cabo san lucas,MX,75.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
106,brezovo,BG,46.99,mist,42.35,25.08,"Хотел ""KISS"" - град Брезово"
108,virginia beach,US,54.0,clear sky,36.85,-75.98,Hilton Virginia Beach Oceanfront
110,mayo,US,48.0,overcast clouds,38.89,-76.51,Resorts Resource Group International
111,hilo,US,73.0,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
123,kalaleh,IR,48.2,scattered clouds,37.38,55.49,عطر و ادکلن پارسیس
124,torbay,CA,51.01,light intensity drizzle,47.67,-52.73,Gallows Cove
129,cape town,ZA,69.8,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
131,ahipara,NZ,62.94,few clouds,-35.17,173.17,Ahipara Holiday Park
133,aswan,EG,64.31,clear sky,24.09,32.91,Nuba Nile
135,rio gallegos,AR,69.8,clear sky,-51.62,-69.22,Hotel Santa Cruz
137,mackay,AU,72.0,overcast clouds,-21.15,149.2,International Lodge Motel
141,kutno,PL,48.99,clear sky,52.23,19.36,Hotel Stacja Kutno
142,geraldton,AU,59.0,clear sky,-28.77,114.6,Broadwater Mariner Resort
143,rawson,AR,75.29,clear sky,-43.3,-65.1,Hotel Punta León
144,port alfred,ZA,67.82,broken clouds,-33.59,26.89,The Halyards Hotel
146,kaitangata,NZ,46.45,scattered clouds,-46.28,169.85,Kaitangata Motor Camp
149,nalut,LY,63.64,clear sky,30.33,10.85,
150,half moon bay,US,62.01,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
152,srivardhan,IN,74.75,clear sky,18.03,73.02,Savli Resort/Hotel - Shrivardhan
156,belen,TR,51.8,scattered clouds,36.49,36.22,Varlıbaş Uyku Sarayı
